masterId,parentId,itemGuid,Menu group,Subgroup,Qty sold,Avg. price,Gross sales,Discount amount,Refund amount,Void amount,Net sales,Gross profit,Gross margin (%),Tax,Waste count,Waste amount
"",,,,,5851.0,8.32,48699.30,614.75,0.0,144.20,48084.55,,,4181.65,0.0,0.0
400000005016425582,,fcc81aae-6a61-434a-ad3f-1a3460e3ae3c,Appetizers,,1026.0,9.36,9604.20,198.46,0.0,34.95,9405.74,,,798.67,0.0,0.0
400000005016425588,,4454c57f-e6f3-455d-8ae0-55938bf74c17,Banh Mi,,734.0,11.18,8208.55,36.55,0.0,10.55,8172.00,,,696.05,0.0,0.0
400000005177874151,,9076acfa-95eb-4a5a-adf2-132b15c4b638,Brioche,,115.0,9.98,1148.25,10.95,0.0,0.0,1137.30,,,97.10,0.0,0.0
400000005016425586,,a66e6805-a420-4763-9d8c-f3d570364277,Rice Bowls,,1516.0,14.17,21476.75,138.13,0.0,53.3,21338.62,,,1811.43,0.0,0.0
400000005016425584,,b13efb3f-4c20-4942-bd11-bde2d6131adb,Salads,,163.0,11.62,1893.25,84.12,0.0,0.0,1809.13,,,154.14,0.0,0.0
400000005016425592,,13a4f75d-7ec5-4559-b2c9-d470a6e8e5c9,Specials,,119.0,13.81,1643.3,0.0,0.0,35.9,1643.3,,,139.86,0.0,0.0
400000005016425594,,68a54b65-0ce8-471e-9b82-4f6b57cf852c,Sides,,149.0,2.20,328.0,81.75,0.0,0.0,246.25,,,21.16,0.0,0.0
400000005016425596,,df901685-9a9a-4562-8193-4d7e92edff68,Desserts,,337.0,3.61,1217.0,49.35,0.0,9.5,1167.65,,,99.99,0.0,0.0
400000005016426081,,b68334cc-f674-4a60-acc0-c81a21785597,Non-Alcoholic Beverages,,1564.0,1.56,2437.0,4.44,0.0,0.0,2432.56,,,206.26,0.0,0.0
400000005016426083,,f5d2b7df-5557-4fb9-80bb-82c8eb6832ff,Beers,,119.0,6.12,728.0,11.0,0.0,0.0,717.0,,,155.71,0.0,0.0
400000005775332659,,be744558-52a2-4fa3-9d90-73d22065d460,TO-GO WARE,,8.0,0.00,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
400000005016451350,,,Merchandise,,1.0,15.00,15.0,0.0,0.0,0.0,15.0,,,1.28,0.0,0.0
400000008223543184,400000005016451350,f372ba4d-cf80-46f5-82d2-1e9be9d9bf8b,Merchandise,Yin Yang Hoodie,1.0,15.00,15.0,0.0,0.0,0.0,15.0,,,1.28,0.0,0.0
