masterId,parentId,itemGuid,Menu group,Subgroup,Qty sold,Avg. price,Gross sales,Discount amount,Refund amount,Void amount,Net sales,Gross profit,Gross margin (%),Tax,Waste count,Waste amount
"",,,,,5525.0,8.36,46205.90,656.59,77.35,76.05,45471.96,,,3967.97,0.0,0.0
400000005016425582,,fcc81aae-6a61-434a-ad3f-1a3460e3ae3c,Appetizers,,1070.0,9.26,9907.90,167.52,11.0,22.5,9729.38,,,826.69,0.0,0.0
400000005016425588,,4454c57f-e6f3-455d-8ae0-55938bf74c17,Banh Mi,,745.0,11.26,8390.10,81.49,11.55,0.0,8297.06,,,705.03,0.0,0.0
400000005177874151,,9076acfa-95eb-4a5a-adf2-132b15c4b638,Brioche,,113.0,10.01,1131.35,34.85,19.90,9.95,1076.60,,,91.87,0.0,0.0
400000005016425586,,a66e6805-a420-4763-9d8c-f3d570364277,Rice Bowls,,1401.0,14.27,19992.70,187.20,26.9,24.45,19778.60,,,1681.19,0.0,0.0
400000005016425584,,b13efb3f-4c20-4942-bd11-bde2d6131adb,Salads,,148.0,11.49,1700.65,55.73,0.0,0.0,1644.92,,,140.18,0.0,0.0
400000005016425592,,13a4f75d-7ec5-4559-b2c9-d470a6e8e5c9,Specials,,28.0,16.22,454.1,0.0,0.0,0.0,454.1,,,38.61,0.0,0.0
400000005016425594,,68a54b65-0ce8-471e-9b82-4f6b57cf852c,Sides,,142.0,2.48,351.5,76.50,1.0,6.5,274.00,,,23.54,0.0,0.0
400000005016425596,,df901685-9a9a-4562-8193-4d7e92edff68,Desserts,,310.0,3.63,1125.0,49.75,7.0,1.75,1068.25,,,89.11,0.0,0.0
400000005016426081,,b68334cc-f674-4a60-acc0-c81a21785597,Non-Alcoholic Beverages,,1425.0,1.63,2323.1,3.55,0.0,5.9,2319.55,,,196.47,0.0,0.0
400000005016426083,,f5d2b7df-5557-4fb9-80bb-82c8eb6832ff,Beers,,140.0,5.82,814.5,0.0,0.0,5.0,814.5,,,174.00,0.0,0.0
400000005775332659,,be744558-52a2-4fa3-9d90-73d22065d460,TO-GO WARE,,2.0,0.00,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
400000005016451350,,,Merchandise,,1.0,15.00,15.0,0.0,0.0,0.0,15.0,,,1.28,0.0,0.0
400000005461587100,400000005016451350,5c01d27c-d5e4-4fd7-a652-d3f576e7e829,Merchandise,Crop Hoodie,1.0,15.00,15.0,0.0,0.0,0.0,15.0,,,1.28,0.0,0.0
-5,,,Gift card,,1.0,50.00,50.0,50.0,0.0,0.0,0.0,,,0.0,0.0,0.0
