masterId,parentId,itemGuid,Menu group,Subgroup,Qty sold,Avg. price,Gross sales,Discount amount,Refund amount,Void amount,Net sales,Gross profit,Gross margin (%),Tax,Waste count,Waste amount
"",,,,,6462.0,8.43,54453.85,703.66,0.0,145.00,53750.19,,,4679.05,0.0,0.0
400000005016425582,,fcc81aae-6a61-434a-ad3f-1a3460e3ae3c,Appetizers,,1143.0,8.86,10125.40,232.49,0.0,32.5,9892.91,,,840.90,0.0,0.0
400000005016425588,,4454c57f-e6f3-455d-8ae0-55938bf74c17,Banh Mi,,913.0,11.20,10227.80,57.52,0.0,11.55,10170.28,,,865.64,0.0,0.0
400000005177874151,,9076acfa-95eb-4a5a-adf2-132b15c4b638,Brioche,,96.0,10.01,960.7,21.92,0.0,0.0,938.78,,,79.31,0.0,0.0
400000005016425586,,a66e6805-a420-4763-9d8c-f3d570364277,Rice Bowls,,1724.0,14.15,24391.95,186.20,0.0,89.80,24205.75,,,2047.91,0.0,0.0
400000005016425584,,b13efb3f-4c20-4942-bd11-bde2d6131adb,Salads,,212.0,11.59,2456.85,71.55,0.0,0.0,2385.30,,,203.19,0.0,0.0
400000005016425592,,13a4f75d-7ec5-4559-b2c9-d470a6e8e5c9,Specials,,30.0,12.50,375.0,0.0,0.0,0.0,375.0,,,31.94,0.0,0.0
400000005016425594,,68a54b65-0ce8-471e-9b82-4f6b57cf852c,Sides,,185.0,2.01,371.0,57.25,0.0,8.2,313.75,,,26.93,0.0,0.0
400000005016425596,,df901685-9a9a-4562-8193-4d7e92edff68,Desserts,,390.0,3.78,1475.0,63.25,0.0,0.0,1411.75,,,120.78,0.0,0.0
400000005016426081,,b68334cc-f674-4a60-acc0-c81a21785597,Non-Alcoholic Beverages,,1590.0,1.95,3103.15,1.48,0.0,2.95,3101.67,,,262.54,0.0,0.0
400000005016426083,,f5d2b7df-5557-4fb9-80bb-82c8eb6832ff,Beers,,156.0,5.89,918.5,0.0,0.0,0.0,918.5,,,196.80,0.0,0.0
400000005775332659,,be744558-52a2-4fa3-9d90-73d22065d460,TO-GO WARE,,14.0,0.00,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
400000005016451350,,,Merchandise,,7.0,6.71,47.0,12.0,0.0,0.0,35.0,,,2.98,0.0,0.0
400000005461586196,400000005016451350,9ecfdf7d-4a71-4115-af40-b18171d5e9ff,Merchandise,Employee Shirt,2.0,10.00,20.0,0.0,0.0,0.0,20.0,,,1.7,0.0,0.0
400000005461586194,400000005016451350,33e6b9ed-3cf7-4631-b756-e314a4b133fd,Merchandise,New Logo Shirt,1.0,20.00,20.0,10.0,0.0,0.0,10.0,,,0.85,0.0,0.0
400000008223543188,400000005016451350,bc9b40f9-1f5d-4e1f-bb75-71f7e5ce3d17,Merchandise,Sticker,4.0,1.75,7.0,2.0,0.0,0.0,5.0,,,0.43,0.0,0.0
400000003635910473,,,Open Food,,2.0,0.75,1.5,0.0,0.0,0.0,1.5,,,0.13,0.0,0.0
